vf-max,best_single_option_policy/return-average,vf-avg,discriminator_reward-min,gmm-log-sigs-mean,kl-surrogate-loss,discriminator_reward-max,gmm-log-w-std,qf-avg,episodes,max-path-return,qf-min,policy-reg-loss,best_single_option_policy/return-std,epoch,best_single_option_policy/return-min,best_single_option_policy/episode-length-min,discriminator-loss,gmm-log-w-min,gmm-mus-mean,qf-std,log_p_z-std,time-sample,gmm-log-w-mean,gmm-log-w-max,vf-min,gmm-mus-std,z-entropy,best_single_option_policy/return-max,last-path-return,vf-std,vf-loss,discriminator_reward-std,time-train,discriminator_reward-avg,log_p_z-max,best_single_option_policy/episode-length-avg,time-eval,log_p_z-min,pool-size,log_p_z-avg,bellman-error,gmm-mus-min,gmm-mus-max,qf-max,best_single_option_policy/episode-length-max,gmm-log-sigs-std,time-total,best_single_option_policy/episode-length-std,gmm-log-sigs-max,path-length,gmm-log-sigs-min
1766.829,27.283651592910832,1660.1339,-2.0708532,-0.14505038,-3.9188883,3.911973,0.32702854,1645.2578,1915,48.89228976889753,1446.3202,7.4561e-05,0.0,1914,27.283651592910832,1000,1.0006098,-0.42072377,0.0011977791,45.47427,7.1525574e-07,0.9323305999860168,0.21536636,0.82643425,1454.9205,0.18910277,3.9120230054281455,27.283651592910832,19.52006230200206,45.687046,5.399378,1.0692432,6.450889638625085,2.9113631,-3.911973,1000.0,1.4802963621914387,-3.911973,1000000,-3.9119723,1.5661051,-0.68392974,0.53137845,1751.5277,1000,0.3038439,117823.37520612776,0.0,0.3503051,1000.0,-0.7272551
1744.1644,26.11037233424617,1650.1653,-0.6347847,-0.15556903,-1.1973264,3.9085178,0.30756822,1636.6357,1916,48.89228976889753,1505.6411,7.669332e-05,0.0,1915,26.11037233424617,1000,1.039629,-0.30257028,-0.0124824345,45.191906,7.1525574e-07,0.9127699602395296,0.23258764,0.759516,1527.0918,0.18739797,3.9120230054281455,26.11037233424617,7.41723893126219,45.186092,1.9334583,1.0685638,6.360235593281686,2.872344,-3.911973,1000.0,1.4401882207021117,-3.911973,1000000,-3.9119723,1.1580142,-0.76323026,0.6049193,1728.9818,1000,0.30644917,117832.03682004102,0.0,0.33903632,1000.0,-0.7680632
1771.4521,27.445591296826052,1657.0039,-0.08740687,-0.14544548,0.2716099,3.9119725,0.33104885,1643.7354,1917,48.89228976889753,1478.9618,7.322096e-05,0.0,1916,27.445591296826052,1000,0.82906026,-0.3470011,0.008266249,50.351357,7.1525574e-07,0.9165365360677242,0.21472825,0.82906306,1481.9836,0.17992097,3.9120230054281455,27.445591296826052,-4.48859948360274,51.095867,2.5235996,0.8803699,6.352934691123664,3.0829127,-3.911973,1000.0,1.413748636841774,-3.911973,1000000,-3.9119723,1.1942027,-0.72593164,0.6057404,1760.3395,1000,0.30470908,117840.77508640569,0.0,0.36051893,1000.0,-0.82587904
1750.0642,29.780510731780826,1658.4447,-1.2389364,-0.15043846,-0.5223605,3.908617,0.32433176,1644.5725,1918,48.89228976889753,1413.4775,7.421887e-05,0.0,1917,29.780510731780826,1000,0.9492078,-0.4074074,-0.005363313,46.941822,7.1525574e-07,0.8963214457035065,0.21174511,0.9238099,1426.4752,0.17224728,3.9120230054281455,29.780510731780826,-7.7383048188091275,46.89698,1.5766357,1.0911353,6.269749857485294,2.9627652,-3.911973,1000.0,1.472134611569345,-3.911973,1000000,-3.9119723,0.6444694,-0.53181726,0.5376479,1736.4163,1000,0.3100131,117849.35303505138,0.0,0.362564,1000.0,-0.70814794
1756.6431,27.364554244778,1653.5302,-1.6331697,-0.14866778,1.6216263,3.9059887,0.31442657,1640.8567,1919,48.89228976889753,1451.2562,7.653466e-05,0.0,1918,27.364554244778,1000,1.0504861,-0.3685355,0.006350614,49.203274,7.1525574e-07,0.9103476898744702,0.21899015,0.7578329,1459.6564,0.19264321,3.9120230054281455,27.364554244778,29.463337362760658,49.234943,2.270888,1.2049102,6.288376261480153,2.861487,-3.911973,1000.0,1.4371193805709481,-3.911973,1000000,-3.9119723,0.9611661,-0.85674185,0.4882837,1742.9574,1000,0.3062931,117857.94964838307,0.0,0.33318198,1000.0,-0.7986247
1754.7346,29.767445433622534,1654.9587,-3.1940694,-0.1508545,3.997221,3.9101899,0.32655954,1642.881,1920,48.89228976889753,1418.1501,7.797772e-05,0.0,1919,29.767445433622534,1000,1.0299371,-0.30082613,0.014971608,48.64134,7.1525574e-07,0.8582450710237026,0.22434124,0.7404697,1435.9906,0.19426395,3.9120230054281455,29.767445433622534,-6.556639908952107,48.658783,2.2994978,1.1798552,6.02313064225018,2.8820357,-3.911973,1000.0,1.4083394277840853,-3.911973,1000000,-3.9119723,1.7480009,-0.6244085,0.6670915,1738.9227,1000,0.3086028,117866.32238665223,0.0,0.3451054,1000.0,-0.7513391
1757.7073,14.07089983396807,1662.9507,-2.2270622,-0.15214998,3.0382323,3.9060032,0.32130963,1650.3989,1921,48.89228976889753,1516.0282,7.706219e-05,0.0,1920,14.07089983396807,1000,0.8959221,-0.3349413,-0.0050479523,46.873135,7.1525574e-07,0.9265955751761794,0.21962212,0.79632354,1528.263,0.19368644,3.9120230054281455,14.07089983396807,2.7588073761885212,46.325768,3.685429,1.0690337,6.426188793033361,3.0160508,-3.911973,1000.0,1.5061024418100715,-3.911973,1000000,-3.9119723,1.6594379,-0.78048784,0.5898341,1746.2963,1000,0.30567116,118424.64576968271,0.0,0.33657575,1000.0,-0.7760707
1768.5896,16.127172546530847,1656.3302,-1.7117653,-0.14587905,4.7756376,3.9088464,0.329387,1644.7703,1922,48.89228976889753,1472.8281,7.4527044e-05,0.0,1921,16.127172546530847,1000,0.82334095,-0.42796153,0.004735421,43.11582,7.1525574e-07,0.8984766416251659,0.21247715,0.98283243,1486.4846,0.1882195,3.9120230054281455,16.127172546530847,-13.837362647270481,43.397438,3.2744963,0.91138995,6.261480225250125,3.088632,-3.911973,1000.0,550.9884683275595,-3.911973,1000000,-3.9119723,1.6215839,-0.67996514,0.79052,1757.7657,1000,0.3038493,118433.47476452682,0.0,0.3698233,1000.0,-0.7696543
1756.4995,13.367319856061979,1662.6553,-1.5882034,-0.14247373,1.471232,3.910272,0.32736966,1649.6183,1923,48.89228976889753,1458.0919,7.494516e-05,0.0,1922,13.367319856061979,1000,0.9194629,-0.33648685,-0.0094766775,44.406254,7.1525574e-07,0.9228248512372375,0.22069459,1.0326408,1472.166,0.1909279,3.9120230054281455,13.367319856061979,-25.83004970358772,44.255363,1.6439171,1.0213262,6.4211318688467145,2.99251,-3.911973,1000.0,1.6948605068027973,-3.911973,1000000,-3.9119723,1.3278604,-0.6127973,0.7118877,1742.1218,1000,0.30503815,118442.26542496588,0.0,0.33446005,1000.0,-0.7375912
1770.5538,12.864676146905442,1659.5939,-2.712257,-0.15351677,-2.2354136,3.9119716,0.32007256,1645.6294,1924,48.89228976889753,1475.9058,7.6534714e-05,0.0,1923,12.864676146905442,1000,0.955714,-0.36146802,-0.008236087,43.989883,7.1525574e-07,0.8896010853350163,0.2144646,0.75100356,1480.1912,0.18002026,3.9120230054281455,12.864676146905442,-12.47296897106849,44.430347,2.0502465,1.0749841,6.182528478093445,2.956259,-3.911973,1000.0,1.4699602965265512,-3.911973,1000000,-3.9119723,1.551735,-0.50340486,0.6507573,1756.5411,1000,0.3114914,118450.95773624443,0.0,0.35182834,1000.0,-0.7974974
